City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,sinabang,2.4803,96.3801,30.08,67,67,1.99,ID,1712897318
319,luderitz,-26.6481,15.1594,22.3,39,0,2.44,NA,1712897318
320,ilagan,17.1485,121.8892,36.57,31,12,1.86,PH,1712897079
321,odiongan,12.4017,121.9919,29.59,65,99,5.47,PH,1712897319
322,villablino,42.9393,-6.3194,14.76,99,28,1.5,ES,1712897319
323,greensboro,36.0726,-79.792,17.64,84,75,5.14,US,1712897319
324,talara,-4.5772,-81.2719,23.23,78,27,5.09,PE,1712897097
325,vulcanesti,45.6842,28.4028,16.25,64,74,6.79,MD,1712897320
326,broken hill,-31.95,141.4333,19.57,35,76,4.03,AU,1712897320
327,am timan,11.0297,20.2827,27.45,14,92,2.53,TD,1712897321
328,mata-utu,-13.2816,-176.1745,29.61,77,22,5.44,WF,1712897321
329,kot malik barkhurdar,30.1944,66.993,20.64,27,100,8.61,PK,1712897321
330,ta`u,-14.2336,-169.5144,29.27,77,33,5.39,AS,1712897322
331,nova vicosa,-17.8919,-39.3719,25.79,81,21,2.82,BR,1712897135
332,port sudan,19.6175,37.2164,24.9,54,3,4.31,SD,1712897322
333,ciudad melchor muzquiz,27.8833,-101.5167,22.99,27,62,2.86,MX,1712897323
334,jonquiere,48.4165,-71.2488,6.88,90,100,3.09,CA,1712897323
335,tsiombe,-25.3,45.4833,21.25,69,100,2.44,MG,1712897323
336,pyapon,16.2833,95.6833,38.79,28,37,2.03,MM,1712897323
337,howrah,22.5892,88.3103,32.0,45,20,2.06,IN,1712897140
338,altai,46.3722,96.2583,6.92,43,57,11.9,MN,1712897324
339,margaret river,-33.95,115.0667,24.25,42,40,0.74,AU,1712896865
340,okha,53.5739,142.9478,5.14,72,21,4.02,RU,1712897324
341,suntar,62.1444,117.6319,-10.55,74,100,2.34,RU,1712897324
342,chichiriviche,10.9333,-68.2772,25.93,87,10,5.06,VE,1712897325
343,nouadhibou,20.931,-17.0347,18.28,85,0,5.43,MR,1712897325
344,santo antonio,-6.3106,-35.4789,23.79,95,62,2.52,BR,1712897325
345,kapuskasing,49.4169,-82.4331,8.0,66,100,2.57,CA,1712897163
346,talodi,10.6325,30.3797,28.72,11,50,3.73,SD,1712897326
347,lompoc,34.6391,-120.4579,15.56,96,100,2.57,US,1712897326
348,gordonvale,-17.0936,145.7842,32.72,59,30,3.64,AU,1712897326
349,paka,4.6374,103.4368,31.96,62,40,4.12,MY,1712897327
350,hithadhoo,-0.6,73.0833,28.84,72,93,3.04,MV,1712897327
351,panama city beach,30.1766,-85.8055,17.27,80,0,0.45,US,1712897327
352,cannonvale,-20.2833,148.7,25.66,70,86,6.33,AU,1712897328
353,cooma,-36.2333,149.1333,18.24,29,1,1.42,AU,1712897328
354,boa vista,2.8197,-60.6733,29.99,58,0,5.14,BR,1712897328
355,villa huidobro,-34.8383,-64.5869,8.55,89,100,3.9,AR,1712897328
356,nueva gerona,21.8833,-82.8,25.77,86,78,2.72,CU,1712897329
357,bafoulabe,13.8065,-10.8321,34.0,24,66,1.32,ML,1712897329
358,rustaq,23.3908,57.4244,32.46,27,68,1.8,OM,1712897330
359,gadzhiyevo,69.2551,33.3362,-1.37,83,100,8.46,RU,1712897330
360,naze,28.3667,129.4833,21.51,88,97,4.42,JP,1712897086
